qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst,random,random_reduced,graycode_reduced,gleinig,topdown,dcsp,bdsp,merge,cvoqram,pivot,isometry,ucg
120,749,58,45,50,744,741,756,77,51,21,236,301,221,21,121,101,120,120
120,764,58,35,39,741,737,758,57,47,23,236,224,206,23,111,116,120,120
118,745,58,29,47,735,735,748,69,51,22,222,224,244,22,123,97,118,118
120,754,65,55,65,752,740,751,68,43,22,240,315,259,22,167,121,120,120
120,752,45,50,31,748,740,756,84,47,23,214,322,267,23,136,118,120,120
120,752,46,52,49,748,740,755,82,42,23,238,294,261,23,122,102,120,120
120,756,56,41,43,745,743,751,64,51,22,240,301,261,22,155,104,120,120
120,748,50,41,51,747,747,752,72,56,28,230,371,299,28,149,122,120,120
120,750,46,37,45,742,743,749,67,43,25,240,378,331,25,164,101,120,120
120,749,32,50,52,746,742,751,58,52,17,232,322,283,17,126,110,120,120
58,742,44,35,47,744,740,748,60,39,25,174,294,202,25,95,99,58,58
120,756,68,51,55,748,746,752,66,59,24,240,343,330,24,134,120,120,120
120,756,58,52,55,748,748,756,61,43,20,240,336,305,20,143,118,120,120
120,756,67,44,42,738,738,747,71,54,20,240,322,278,20,122,99,120,120
120,747,62,35,32,741,738,747,89,53,25,240,336,265,25,138,104,120,120
120,756,51,41,42,747,743,757,57,45,23,204,357,297,23,117,101,120,120
120,749,40,26,38,738,738,763,56,53,21,238,259,262,21,119,90,120,120
118,749,43,30,57,744,740,759,66,49,25,238,273,213,25,123,114,118,120
118,757,61,37,39,744,740,766,57,60,32,232,287,288,32,136,119,118,118
120,746,39,36,34,741,739,760,90,39,23,212,350,255,23,135,121,120,120
120,748,34,44,53,744,742,746,41,46,24,240,287,279,24,114,112,120,120
120,754,47,33,41,741,737,747,64,60,28,240,252,215,28,120,112,120,120
120,746,59,20,43,734,737,754,62,57,22,234,322,274,22,160,121,120,120
120,748,52,39,32,744,741,754,57,39,21,240,315,286,21,132,116,120,120
120,744,57,31,38,737,733,740,101,61,18,240,315,237,18,146,112,120,120
118,746,80,31,49,738,734,743,81,59,17,238,315,225,17,181,118,118,118
120,746,40,39,36,743,742,759,57,39,26,230,294,267,26,125,101,120,120
114,746,46,46,63,740,736,748,69,41,17,222,259,209,17,135,115,114,120
120,755,58,58,51,745,742,759,73,49,20,232,329,297,20,139,114,120,120
120,754,89,33,33,738,738,748,88,50,24,232,287,227,24,172,117,120,120
120,750,44,47,51,750,746,751,87,37,24,236,343,293,24,124,101,120,120
120,759,62,43,36,748,744,756,68,43,26,228,343,275,26,153,122,120,120
120,744,36,30,30,738,734,744,72,32,22,240,329,303,22,156,116,120,120
120,756,55,39,58,742,741,753,63,52,19,230,371,319,19,150,103,120,120
120,750,53,52,60,747,741,760,66,63,17,238,273,238,17,127,100,120,120
106,749,62,30,63,739,738,751,57,40,28,220,224,215,28,110,114,106,106
120,751,54,26,48,742,738,766,90,63,29,236,280,277,29,123,112,120,120
120,748,54,48,48,742,741,752,68,58,29,236,315,269,29,156,116,120,120
120,756,81,37,47,742,741,749,64,31,20,234,301,312,20,129,114,120,120
120,752,61,35,45,740,736,757,59,46,29,232,329,287,29,153,118,120,120
120,746,43,28,33,741,740,755,80,76,31,222,336,302,31,117,102,120,120
120,746,47,28,41,738,738,755,76,39,29,234,273,275,29,99,114,120,120
120,754,45,49,40,746,740,754,83,42,30,240,287,334,30,102,85,120,120
120,757,62,41,43,746,744,759,53,68,33,222,322,265,33,125,116,120,120
120,756,58,46,38,750,748,766,66,47,26,234,385,343,26,146,117,120,120
120,755,60,52,51,747,745,747,66,68,31,228,259,213,31,132,113,120,120
120,755,47,43,45,748,748,758,58,47,27,230,329,286,27,141,105,120,120
120,751,43,45,54,744,744,747,61,58,30,228,343,256,30,122,114,120,120
120,751,64,41,34,738,738,754,97,37,31,240,238,206,31,132,104,120,120
120,748,40,27,40,736,736,740,75,50,22,240,245,194,22,95,114,120,120
120,758,51,30,54,747,747,768,71,43,25,236,399,303,25,146,110,120,120
120,752,54,53,39,743,737,746,72,66,23,220,280,294,23,131,121,120,120
120,755,66,41,41,745,744,766,64,67,23,232,364,339,23,164,125,120,120
120,749,44,28,39,741,736,764,75,49,15,224,259,207,15,111,101,120,120
118,747,52,29,39,738,735,747,49,37,23,238,210,185,23,137,114,118,118
120,761,66,35,41,741,739,757,80,51,24,236,280,251,24,171,119,120,120
120,739,44,27,30,736,734,752,79,42,18,240,350,223,18,143,87,120,120
120,748,50,30,35,738,738,752,117,43,21,238,378,258,21,143,116,120,120
120,750,74,39,45,744,741,754,49,52,28,228,273,315,28,144,101,120,120
120,756,51,47,39,745,742,760,72,51,30,240,294,233,30,115,119,120,120
120,756,69,50,50,746,746,757,64,63,37,240,280,210,37,130,90,120,120
120,752,45,41,38,746,742,758,60,52,24,240,371,284,24,147,103,120,120
120,752,57,43,57,747,740,755,72,42,22,216,343,295,22,116,95,120,120
90,746,39,37,57,741,738,746,44,38,26,198,259,221,26,89,112,90,90
120,754,58,39,51,743,740,758,65,30,21,236,364,291,21,144,119,120,120
120,760,62,39,41,746,745,760,63,66,30,226,315,268,30,141,121,120,120
