qiskit,shp_reduced,gleinig,topdown,dcsp,bdsp,merge,cvoqram,pivot,isometry
1013,4017,2024,2026,3682,2729,2024,2558,19620,1013
1013,3823,2008,2026,3661,2678,2008,2602,20060,1013
1013,3983,2062,2026,3717,2627,2062,2585,18918,1013
1013,3872,1998,2026,3570,2613,1998,2762,20051,1013
1013,3852,2079,2026,3654,2690,2079,2708,19397,1013
1013,4009,2008,2026,3710,2746,2008,2707,20749,1013
1013,4153,2050,2026,3724,2592,2050,2633,19171,1013
1013,4154,2049,2026,3647,2770,2049,2543,19381,1013
1013,4218,2066,2026,3675,2671,2066,2729,19590,1013
1013,4260,1977,2026,3752,2629,1977,2621,17795,1013
1013,4471,1923,2026,3850,2740,1923,2660,18946,1013
1013,4075,2047,2026,3696,2644,2047,2564,20726,1013
1013,4048,1860,2026,3738,2695,1860,2678,19159,1013
1013,4332,2133,2026,3724,2725,2133,2630,20052,1013
1013,3977,2143,2026,3731,2637,2143,2676,19627,1013
1013,4029,2006,2026,3668,2744,2006,2572,18255,1013
1013,4014,1970,2026,3976,2711,1970,2688,20044,1013
1013,4115,2167,2026,3941,2659,2167,2836,21169,1013
1013,3832,1947,2026,3703,2532,1947,2663,20019,1013
1013,3765,1977,2026,3612,2720,1977,2640,20945,1013
1013,3859,1903,2026,3682,2744,1903,2576,18941,1013
1013,4490,2044,2026,3563,2654,2044,2656,20069,1013
1013,4413,2092,2026,3766,2765,2092,2658,19606,1013
1013,3903,2154,2026,3549,2676,2154,2669,19359,1013
1013,3971,1981,2026,3682,2664,1981,2563,18702,1013
1013,4010,1983,2026,3661,2725,1983,2698,19820,1013
1013,4246,2088,2026,3808,2716,2088,2658,19804,1013
1013,4279,2014,2026,3668,2563,2014,2592,20026,1013
1013,4102,2021,2026,3647,2578,2021,2638,19358,1013
1013,4063,1927,2026,3689,2742,1927,2789,18255,1013
1013,4108,1974,2026,3675,2626,1974,2663,20728,1013
1013,3827,2183,2026,3703,2635,2183,2646,20049,1013
1013,3795,2079,2026,4088,2672,2079,2762,19617,1013
1013,3933,2083,2026,3626,2803,2083,2642,19588,1013
1013,4278,2073,2026,3822,2694,2073,2836,20521,1013
1013,4136,2199,2026,3899,2777,2199,2773,20052,1013
1013,4171,2037,2026,3675,2651,2037,2710,19613,1013
1013,3976,1980,2026,3703,2651,1980,2724,19843,1013
1013,3647,2100,2026,3808,2657,2100,2664,20047,1013
1013,3762,1879,2026,3528,2679,1879,2686,19822,1013
1013,4003,1988,2026,3808,2743,1988,2469,19150,1013
1013,4271,2072,2026,3738,2749,2072,2607,19843,1013
1013,4025,2142,2026,3661,2757,2142,2611,18243,1013
1013,3860,1972,2026,3535,2645,1972,2755,18719,1013
1013,3880,2076,2026,3724,2750,2076,2672,18464,1013
1013,4258,2065,2026,3682,2682,2065,2724,20505,1013
1013,4096,2047,2026,3682,2712,2047,2552,20720,1013
1013,3998,2029,2026,3885,2668,2029,2594,19829,1013
1013,3882,1908,2026,3892,2599,1908,2704,21169,1013
1013,4500,1921,2026,3836,2782,1921,2694,18918,1013
